state_abbr,county_fips,county_name,org_count,total_revenue,total_expenses,total_gov_grants,total_org_grants,total_volunteers,avg_revenue,avg_expenses,volunteers_per_org,geo_id,population_16_plus,unemployment_rate,median_household_income,per_capita_income,poverty_rate_all_people,any_disability_among_adults,binge_drinking_among_adults,depression_among_adults,fair_or_poor_self_rated_health_status_among_adults,food_insecurity_in_the_past_12_months_among_adults,housing_insecurity_in_the_past_12_months_among_adults,obesity_among_adults,total_volunteers_vol,volunteers_per_org_vol
AL,1131,"Wilcox County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01131,8268,,42236,23366,,48.0,9.8,21.4,36.1,37.8,25.2,51.2,0.0,0.0
AL,1133,"Winston County, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US01133,19489,,48032,27258,,42.9,13.5,26.2,27.7,19.9,12.6,39.1,0.0,0.0
GA,13001,"Appling County, Georgia",13.0,6205424.0,6008745.0,3567081.0,0.0,80.0,477340.3076923077,462211.1538461539,6.153846153846154,0500000US13001,14395,,43728,25218,,39.2,13.4,22.0,28.7,24.5,17.9,40.6,80.0,6.153846153846154
GA,13003,"Atkinson County, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0500000US13003,6380,,38438,23886,,41.8,14.0,22.0,32.9,31.5,23.2,44.0,0.0,0.0
GA,13005,"Bacon County, Georgia",7.0,192704578.0,192986501.0,611065.0,0.0,9.0,27529225.42857143,27569500.14285714,1.2857142857142858,0500000US13005,8722,,50310,25969,,35.8,14.4,22.1,24.9,20.8,16.1,36.9,9.0,1.2857142857142858
GA,13007,"Baker County, Georgia",1.0,124192.0,106305.0,1204.0,0.0,25.0,124192.0,106305.0,25.0,0500000US13007,2343,,44405,25017,,42.2,10.7,19.3,31.7,28.3,19.8,43.3,25.0,25.0
GA,13009,"Baldwin County, Georgia",40.0,27560605.0,30452663.0,6638963.0,4.0,1240.0,689015.125,761316.575,31.0,0500000US13009,36630,,55413,32573,,34.7,14.1,20.4,23.8,22.3,17.4,38.7,1240.0,31.0
GA,13011,"Banks County, Georgia",5.0,986303.0,893095.0,360686.0,0.0,0.0,197260.6,178619.0,0.0,0500000US13011,15218,,68830,32088,,34.4,15.4,22.8,22.8,16.4,12.7,34.5,0.0,0.0
GA,13013,"Barrow County, Georgia",40.0,36011506.0,31227548.0,2749845.0,1.0,1022.0,900287.65,780688.7,25.55,0500000US13013,67519,,77477,31914,,30.2,15.3,19.7,20.2,17.3,14.5,35.3,1022.0,25.55
GA,13015,"Bartow County, Georgia",74.0,298782519.0,288831560.0,35367071.0,1.0,12715.0,4037601.608108108,3903129.189189189,171.82432432432432,0500000US13015,88016,,79431,33951,,30.4,16.1,21.2,20.4,14.9,12.7,38.7,12715.0,171.82432432432432
GA,13017,"Ben Hill County, Georgia",6.0,1690464.0,1382575.0,0.0,0.0,111.0,281744.0,230429.16666666663,18.5,0500000US13017,13461,,39081,23099,,40.1,12.4,20.9,30.0,28.6,21.1,41.5,111.0,18.5
GA,13019,"Berrien County, Georgia",8.0,2899822.0,2437838.0,648697.0,0.0,11.0,362477.75,304729.75,1.375,0500000US13019,14501,,50414,26263,,37.7,14.4,22.9,26.5,22.0,16.1,38.1,11.0,1.375
GA,13021,"Bibb County, Georgia",278.0,2844737010.0,2711838954.0,147426061.0,7.0,102743.0,10232866.942446044,9754816.381294964,369.5791366906475,0500000US13021,122194,,50747,31306,,36.8,12.6,19.5,26.1,25.9,20.4,44.7,102743.0,369.5791366906475
GA,13023,"Bleckley County, Georgia",5.0,1216091.0,1082187.0,0.0,0.0,32.0,243218.2,216437.4,6.4,0500000US13023,10272,,53005,29677,,35.3,13.9,21.8,23.6,19.5,15.4,37.7,32.0,6.4
GA,13025,"Brantley County, Georgia",3.0,89178298.0,89148820.0,58525.0,0.0,3.0,29726099.333333332,29716273.333333332,1.0,0500000US13025,14635,,47801,25293,,37.0,15.0,24.0,25.0,18.4,13.7,39.0,3.0,1.0
GA,13027,"Brooks County, Georgia",19.0,78496613.0,83288867.0,7100.0,2.0,8219.0,4131400.6842105263,4383624.578947368,432.57894736842104,0500000US13027,13206,,47656,27303,,40.1,11.8,20.2,30.1,26.5,19.4,40.2,8219.0,432.57894736842104
GA,13029,"Bryan County, Georgia",21.0,3840239.0,2520672.0,86906.0,1.0,986.0,182868.52380952385,120032.0,46.95238095238095,0500000US13029,34685,,94234,42576,,26.4,17.9,20.5,15.7,12.1,11.4,33.5,986.0,46.95238095238095
GA,13031,"Bulloch County, Georgia",87.0,242187727.0,210991567.0,121523545.0,3.0,2399.0,2783766.9770114943,2425190.425287356,27.57471264367816,0500000US13031,66867,,56832,30450,,31.4,15.2,21.4,20.3,19.2,15.6,38.9,2399.0,27.57471264367816
GA,13033,"Burke County, Georgia",10.0,6940949.0,6876616.0,250000.0,0.0,90.0,694094.9,687661.6,9.0,0500000US13033,19220,,50739,31580,,38.0,12.3,20.4,27.7,25.9,20.0,40.1,90.0,9.0
