state_abbr,county_fips,county_name,any_disability_among_adults,binge_drinking_among_adults,depression_among_adults,fair_or_poor_self_rated_health_status_among_adults,food_insecurity_in_the_past_12_months_among_adults,housing_insecurity_in_the_past_12_months_among_adults,obesity_among_adults
SC,45035,Dorchester,28.0,16.7,21.7,18.4,15.6,12.9,35.4
SC,45037,Edgefield,33.9,15.4,20.6,23.6,21.9,16.0,39.9
SC,45039,Fairfield,37.7,12.2,20.6,27.4,26.9,19.2,45.7
SC,45041,Florence,35.0,14.1,22.7,23.1,21.7,16.8,40.6
SC,45043,Georgetown,32.1,13.1,19.8,19.9,14.4,11.0,31.8
SC,45045,Greenville,29.0,15.6,21.8,17.5,14.8,11.6,32.5
SC,45047,Greenwood,34.1,14.1,23.6,22.6,21.3,15.3,36.8
SC,45049,Hampton,38.4,13.5,21.1,29.1,30.2,21.6,41.6
SC,45051,Horry,32.2,14.7,21.5,20.8,14.8,10.8,32.3
SC,45053,Jasper,35.4,13.7,20.6,23.6,21.1,15.3,35.0
SC,45055,Kershaw,31.6,14.9,21.9,20.6,18.4,13.8,36.6
SC,45057,Lancaster,31.8,15.0,22.1,19.6,15.8,12.1,36.1
SC,45059,Laurens,38.0,14.0,23.4,25.3,21.2,15.3,36.3
SC,45061,Lee,39.3,12.6,21.1,29.6,31.6,22.7,43.7
SC,45063,Lexington,28.8,15.3,24.4,18.8,14.7,11.7,36.2
SC,45065,McCormick,38.3,11.4,18.8,24.9,18.6,13.0,36.9
SC,45067,Marion,41.3,11.8,21.6,31.7,33.4,23.2,45.3
SC,45069,Marlboro,42.7,13.0,21.8,32.0,33.5,23.4,41.0
SC,45071,Newberry,32.9,15.4,22.1,22.2,19.9,14.3,38.1
SC,45073,Oconee,33.8,16.0,25.0,22.5,16.1,11.1,38.2
SC,45075,Orangeburg,38.5,12.6,21.4,27.5,29.4,20.5,42.2
SC,45077,Pickens,32.3,17.1,25.4,20.1,17.0,11.9,35.4
SC,45079,Richland,29.9,16.3,22.3,19.2,18.1,15.7,34.7
SC,45081,Saluda,38.0,14.4,21.4,25.4,21.5,15.6,43.6
SC,45083,Spartanburg,33.9,15.8,24.1,20.9,18.3,14.2,37.9
SC,45085,Sumter,32.8,13.8,21.0,22.4,23.0,17.7,42.7
SC,45087,Union,41.5,13.8,23.4,29.0,26.3,18.3,44.0
SC,45089,Williamsburg,41.0,11.7,20.0,29.3,30.1,21.7,45.0
SC,45091,York,26.7,16.2,21.9,16.7,14.0,11.1,37.3
